# Epigenetic clock results for the samples in purified celltype Reinius dataset.,,,,,,,,,,,,,,,,,
id,Hannum 2013,Horvath pan-tissue 2013,Weidner 2014,Lin 2016,Vidal-Bralo 2016,Horvath SkinAndBlood 2018,Zhang 2019,Yang epiTOC 2016,Youn MiAge 2018,Lu DNAmTL 2019,Teschendorff epiTOC2 2020,Zhang mortality-risk 2017,Levine PhenoAge 2018,Lu GrimAge 2019,Lu GrimAge2 2022,Belsky DunedinPACE 2022,McGreevy FitAge 2023
NK-cells_043,39.3192013528162,32.6522430733994,40.9107231778752,13.901245520018,41.449073480386,28.2070310798035,53.2620469925554,0.117732031456751,1071.28216937933,7.26304511748959,4374.25811042488,-3.74995912584073,9.12199481563547,32.9669571874371,30.2193999922952,0.785823416750651,26.8838987402281
NK-cells_105,74.8005055671261,74.0936516273397,67.2175806178269,63.8931130367216,51.7321594137229,65.0105186757045,66.0669386449175,0.203169609739254,2270.5418019227,6.28406248680454,9450.39921444548,-2.22517638100501,52.7481187620825,63.5229463781418,61.8794090368861,0.753949963866256,67.2139624127683
NK-cells_149,50.5644966270295,47.9591426930801,34.0596341791155,29.5733966026757,46.5049631717215,49.0423599932171,59.9823723306315,0.10489719400743,1036.45937998713,6.87228908926565,3729.06973269582,-2.90527726117971,33.2625206994939,50.711003906473,47.9084011085214,0.72457544443116,45.3145080991578
NK-cells_160,29.5913340751609,26.3159358556703,33.037539024344,24.9071714870802,41.704925012435,25.4789222129206,52.0894561430335,0.0982061648409127,941.012904907058,7.50109548486944,3257.44749646072,-3.84940496832796,11.5615121895255,32.9206715427337,32.2625189945393,0.636302343095519,26.1611772246507
NK-cells_218,64.1531639264428,54.007363401987,51.9659407318012,42.9577284273404,46.7832871022039,50.1285495380094,62.4514310150674,0.155394006005654,1591.17054372331,6.38607244204382,6387.62053599748,-2.49283764589734,42.9771766682614,50.7372077485557,49.5849609458228,0.697379301238735,53.8250965537612
NK-cells_261,50.6792307035965,38.5921645317645,54.9814686198362,32.0954538094066,39.4461349424382,35.7226325257034,56.421867082023,0.144859341772666,1485.88981909144,6.8377519887281,5990.73974675022,-2.89988049328296,23.0464102948156,46.0431095202361,46.2227221983616,0.821617709368647,39.1744456290468
B-cells_043,41.4912495352122,25.4582638781027,40.8456450168575,27.9575283847478,35.9186499125039,18.1861805428985,53.2745588354212,0.144850638963796,1171.44058985316,7.45382204624055,5853.20257730779,-5.36663516876,17.6279514815348,24.2079580410893,22.9095349971625,1.13560366875446,22.4159508179879
B-cells_105,74.8981827822675,52.0989214877341,57.4855697103931,63.1177060203883,40.3395925439947,52.379437645073,64.5151106599174,0.246788784487532,2154.68642408122,6.68692638493994,11659.0477709661,-4.22711435779011,51.6717027872933,59.3503677150942,59.0122145547667,1.16984492056724,62.0967891471635
B-cells_149,50.1364696708075,38.2813828366243,39.0772328404902,38.7016389826367,36.3141111423368,32.7464589324432,57.8649049312528,0.136569050862567,1062.72319460611,7.36382387517147,5549.67883270016,-5.19694515094467,28.1708363405613,35.5471527002026,35.8906612325913,0.989567129438924,34.9701850594845
B-cells_160,39.8853566943792,24.7595261311945,44.0295228669082,35.6509180486184,34.6447394820739,14.9621109767847,53.4234565740298,0.158020765882166,1287.1971064274,7.24162897083516,6735.85008227598,-4.83555397571532,23.4494656845696,24.1292622830234,25.6133397832973,1.04567289828158,25.7479139547952
B-cells_218,52.5813640381521,36.7731325798723,34.0669156370067,45.3946052276728,34.0699752701218,33.371970321152,59.4715856576308,0.162038802238591,1198.67741224052,7.00169278123838,6860.41593420341,-5.01362581620161,33.3045919766649,38.8069048725627,38.5245370726071,1.12259810271751,38.141829519248
B-cells_261,51.6843292731531,28.2815254892832,39.2012147710143,33.5185964461527,27.3945887484833,20.7406057702782,56.4939514964975,0.21695247178028,1796.13233193762,6.8515493321218,10018.6488073734,-4.19625626129209,33.9223026823017,36.5154089395989,39.6283724589709,1.11567776471788,39.413395367597
CD4+ T-cells_043,32.005869925031,23.7920126661369,33.224886722897,19.095399264353,35.3822107989885,29.9472823960031,53.1278239981719,0.0973350090167223,1024.45670461396,7.74906558768248,3289.8503408867,-4.63080703171159,6.67232438947183,34.3970759973563,34.7609191053117,0.641849148746626,22.1170526297379
CD4+ T-cells_105,61.4183169869964,54.4774672192132,46.4878974610544,56.5843177165654,40.3917957750963,58.6941650538693,64.7204845090659,0.12311419670073,1353.29675515264,6.98361950741661,4709.2189297012,-4.11835981776463,47.3974419148395,57.1577080488685,59.9975730574002,0.828026312904544,52.835796560397
CD4+ T-cells_149,43.3161155812716,35.7143646634511,40.1221481403816,34.8406479664629,37.0298332838724,46.1904883774871,58.1361681657264,0.101655305632526,1186.97990024297,7.50433081221811,3491.84706730477,-4.80142924580554,19.8881107128066,43.4659553824704,43.8050754251641,0.698057252639186,34.3863633962346
CD4+ T-cells_160,27.7163983201064,19.0673437748669,34.9681739969058,24.6287370335156,33.3528691222958,26.8442081263743,51.4083736844732,0.0865835419167447,998.503076793561,7.92559033212309,2621.21291988508,-5.07797776395948,0.215320451436519,29.2977831946296,30.5063021235097,0.513221514004834,17.698172504581
CD4+ T-cells_218,43.8609620543675,36.1564572175022,29.0527026912939,35.2509400846242,34.1246217493579,43.8987678332454,58.6342703076389,0.101494929838444,1055.72707167354,7.50244040919925,3443.91926995006,-4.81996897727999,19.829066432442,44.37370932192,44.6748938380101,0.679813683120635,35.3551748657212
