# Supplementary table 9. Epigenetic clock results for the samples in Neu 52 yo dataset.,,,,,,,,,,,,,,,,,
id,Hannum 2013,Horvath pan-tissue 2013,Weidner 2014,Lin 2016,Vidal-Bralo 2016,Horvath SkinAndBlood 2018,Zhang 2019,Yang epiTOC 2016,Youn MiAge 2018,Lu DNAmTL 2019,Teschendorff epiTOC2 2020,Zhang mortality-risk 2017,Levine PhenoAge 2018,Lu GrimAge 2019,Lu GrimAge2 2022,Belsky DunedinPACE 2022,McGreevy FitAge 2023
Neu52yo_CT13,61.09530999,48.89571238,16.77199555,55.73060434,60.22880758,50.60320572,62.37266299,0.03398524985,451.2625433,7.04499984,36.66090753,-1.000148594,54.57019765,53.52228937,59.62836021,1.038281764,48.55663239
Neu52yo_CT13_R1,62.27683676,50.85088111,17.47754769,54.39705626,59.11820163,54.25588496,63.06265659,0.0331338674,446.459874,7.029748605,44.66822391,-1.088881364,52.3183854,54.71835058,59.76103178,0.9917272327,49.15170596
Neu52yo_CT16,59.76876212,52.13280652,14.1685147,56.09669158,60.52306832,51.71682477,62.76290103,0.03491517941,446.269249,7.032331819,111.6741133,-1.095308944,55.04644048,54.13268646,59.50450856,0.9681675507,50.5690199
Neu52yo_CT16_R1,61.04268045,53.14560554,14.70716302,50.27328276,57.74127257,51.34088633,62.74846916,0.03318352916,441.9639535,7.045220828,27.59378048,-0.9443306683,53.52069892,52.64930182,57.95908152,0.9745828191,49.6802336
Neu52yo_CT19,60.03317485,53.92436416,17.92609181,51.631406,59.05968582,51.02471177,62.47956019,0.03438701314,426.2206359,7.063987761,96.98289351,-1.098264454,52.78729036,53.19673562,58.79783897,1.031258767,50.29587318
Neu52yo_CT19_R1,58.09987364,49.50018651,17.92219642,49.2452397,59.02039009,51.53476782,62.71659813,0.03524495476,458.5120325,7.054175854,122.4834469,-1.137466125,50.11852341,52.19261431,58.37290912,0.9857730074,48.33836141
Neu52yo_CT22,60.53566639,51.98117606,15.99545603,54.09517012,58.11676754,51.61330616,62.5729996,0.03422705741,447.6453361,7.074165066,90.48355276,-1.134724741,55.37720609,53.18553752,59.04183349,1.002604946,48.90534805
Neu52yo_CT22_R1,58.67775799,51.49817604,18.69487948,54.06637988,59.25351546,51.18721423,62.32021262,0.03533934948,449.9166407,7.051118106,130.6566307,-1.048508619,53.98070056,52.32077952,57.86102005,0.9874631643,48.16392119
Neu52yo_CT25,62.20950101,53.43071786,15.21875207,51.20933244,60.9022837,50.95996883,62.289158,0.03320957713,445.9643396,7.025672192,10.88217885,-1.066943334,56.22385237,52.80410968,58.01013466,1.028350207,48.93405828
Neu52yo_CT25_R1,58.9273698,53.94827405,16.38551103,51.93516942,57.83405629,50.04002329,62.61107622,0.03352923186,446.2472466,7.076599922,31.47772577,-1.06511005,52.73356337,52.26780656,58.24149374,1.002790537,48.72290554
Neu52yo_CT28,58.70386165,49.84869061,14.11187194,53.74199572,60.26210264,50.42571713,62.01020559,0.03613409756,466.8278878,7.086850561,171.047234,-1.181161898,54.02383886,51.57051587,57.42181355,1.001874857,48.94708941
Neu52yo_CT28_R1,59.41486058,51.74357297,17.09356871,56.11157672,59.13803536,51.5812461,62.81690485,0.03529457632,469.0396411,7.054571932,158.3844932,-1.332393722,55.44718745,52.59818984,57.71621013,0.9764639473,48.79741553
Neu52yo_CT34,62.09188247,47.34491154,11.18577415,56.15696235,59.864157,52.50304802,62.85549248,0.03398220169,442.1926696,7.074286239,65.16949246,-1.111715075,51.63999175,53.31999132,58.33982996,0.9923819317,49.32536031
Neu52yo_CT34_R1,61.74108645,49.76338504,15.99655906,54.15787377,61.9952854,52.54846276,62.87050929,0.03344572383,439.8748129,7.100748526,39.4193227,-1.093181118,53.85981138,53.84379512,59.20040479,1.050936243,49.59943735
Neu52yo_CT37,58.55807423,51.56049956,17.53761972,55.34034898,60.2140028,51.28648594,62.2578417,0.03393901254,441.2601907,7.098536942,69.18584321,-0.9180691542,56.05688421,52.85565239,58.48925699,0.9919403234,49.14430133
Neu52yo_CT37_R1,60.81732989,48.12737429,13.62254062,50.46879014,61.86325745,51.37305208,62.40088597,0.03473583013,432.5308805,7.015648541,91.26032657,-0.9261121685,53.96511957,52.59365817,58.47714982,1.006937331,49.00449756
Neu52yo_CT40,61.64117487,49.23530798,19.11160183,54.86556328,61.88500012,51.62439043,62.64598213,0.03407228059,439.3627665,7.108062095,61.81490953,-0.9667673978,50.15895083,53.76470555,59.09007639,0.941250683,49.53748122
Neu52yo_CT40_R1,59.17733152,51.37167461,17.77532201,54.73796041,60.22287186,51.61048388,62.79116419,0.03415421953,437.3199271,7.047235329,86.10002029,-0.9681351047,54.43903033,53.36100089,58.615347,1.014939194,49.7597032
Neu52yo_CT43,62.95788203,51.02489788,16.14578729,52.25535243,60.96167317,51.68782393,63.03809528,0.0343676139,477.7119527,7.068363481,52.65573273,-1.110418934,54.53474657,53.68468129,59.42703514,0.9864259737,49.85967204
Neu52yo_CT43_R1,61.70607221,53.03078724,15.97931312,51.86796399,58.76707462,52.78608129,63.12437566,0.03371931756,425.2023935,7.046646447,64.52059575,-1.067636154,56.70725654,54.5394739,60.00907638,1.014936788,49.76430022
Neu52yo_CT46,59.99125873,51.38909971,12.25791495,54.00016108,59.78143636,51.86282825,62.32288295,0.03535861037,464.4816658,7.052532097,129.2880951,-1.111040049,53.5925715,55.25706259,60.88190578,1.016452494,51.46960433
Neu52yo_CT46_R1,62.18647545,51.166711,18.6336555,53.71879839,58.60211511,52.74222757,62.76808994,0.03493840384,450.3042213,7.044148255,86.77390072,-1.031027463,51.73075267,54.14500813,59.77637474,0.9647659036,50.11579365
Neu52yo_CT49,62.06514154,49.61544736,11.49273312,54.03451537,57.10686546,52.38631937,62.74649776,0.03436258368,475.5939012,7.02655101,63.95423956,-1.206129043,51.37105027,54.74021567,60.31168557,0.9962911085,49.84431372
Neu52yo_CT49_R1,60.85198924,51.03871028,19.13692873,55.61160774,61.41899609,51.67345027,63.06041654,0.03415445897,453.8230687,6.982938779,72.59954796,-1.072148426,58.07590941,52.46013277,58.27001911,1.01023133,49.45105624
Neu52yo_CT55,59.59326701,48.80610651,16.69534532,55.39654173,60.17427907,51.29195935,62.48539817,0.0335092439,447.1892447,7.07560115,41.18158432,-1.080563679,52.78020005,52.94419731,58.42963316,1.008363724,50.00363888
Neu52yo_CT55_R1,60.44573162,49.89116313,17.94723191,51.19284573,61.16227374,51.59350145,62.70819438,0.03350662136,441.0396334,7.04699586,32.09105783,-1.080489894,54.59679661,52.84806675,58.18280016,1.006371117,48.86222432
Neu52yo_CT58,60.52609681,51.3236826,13.33432346,57.10308428,59.38676646,52.51590425,62.76159473,0.03503337747,469.6347986,7.053217329,97.86930147,-1.076590094,52.420649,52.61801944,58.70696174,0.9803817232,48.3870484
Neu52yo_CT58_R1,61.59467215,51.79114658,15.58127801,52.95207065,61.81673749,50.90768189,62.69716248,0.03318751012,439.96953,7.035381358,35.3210588,-1.001265845,53.35139584,51.93750139,57.19320536,1.006196672,47.60061307
Neu52yo_CT61,61.09771339,51.49999976,15.08573482,54.61562585,60.32590411,50.79336579,62.69164713,0.0340533704,456.2547465,7.066398089,50.56650003,-0.9221677851,56.64037651,52.67822412,58.77336498,1.031088197,47.61920767
Neu52yo_CT61_R1,59.01571033,51.75935949,12.82319712,52.1560267,60.12391857,51.30772968,62.40048566,0.03322641911,455.3635799,6.983089968,18.67581356,-1.008555529,55.30050308,53.3371432,58.23299705,1.031922738,49.97054977
Neu52yo_CT64,60.60057953,48.89688335,12.81850413,52.0834715,59.12308455,49.33400552,62.44201171,0.03442739805,455.5355028,7.019163352,37.8222977,-1.176436222,55.60273697,53.02397447,58.25416131,1.017733606,50.67526813
Neu52yo_CT64_R1,59.26441582,50.56116719,14.71107614,54.11682651,58.9019882,52.06086338,62.74112445,0.03548497205,441.7642072,6.938865432,101.8994131,-1.149285531,51.18781529,52.62216411,58.31177751,1.035283662,48.75467197
Neu52yo_CT67,59.29354595,47.59684721,16.29119938,52.05066585,59.70007906,51.03255135,62.57716094,0.03355039881,434.3526642,6.968897364,42.8321819,-1.058255345,55.18609242,53.37564641,59.07263065,1.009904,49.68108364
Neu52yo_CT67_R1,60.69277619,52.78721429,18.30499101,52.4891067,60.44708743,53.29258504,62.80013524,0.03357676915,440.1998867,7.057615032,68.22983185,-1.07711758,55.53874094,53.73013885,59.1899565,1.037461871,49.11476934
Neu52yo_CT70,59.41269825,51.37232808,16.13694949,54.01586414,58.64695359,51.16968573,62.81230954,0.03508180094,455.8388363,7.095631708,131.689299,-1.103515969,53.67552876,52.36364696,57.28815039,1.047960482,49.49908045
Neu52yo_CT70_R1,61.55251186,54.88871811,18.47499765,57.70180862,62.73756732,52.19261961,62.87292727,0.03229809833,422.5345663,7.072777589,-12.10805302,-1.075618522,56.60306539,52.44867539,57.61970443,0.9825847575,47.97478486
Neu52yo_CT73,60.5577741,52.19140712,15.48065673,55.21435718,61.78258392,51.76159843,62.74793061,0.03495462365,449.4293272,7.043223617,128.2521196,-1.252297403,57.13897174,52.59543167,59.19883029,1.012992917,46.70742799
Neu52yo_CT73_R1,62.82391046,54.75146643,16.30335654,51.96609017,59.15733209,51.61374095,62.62287797,0.0346180551,451.9689083,7.024487986,90.23454091,-1.0559578,49.78969912,52.95484137,58.62116877,1.025001216,47.93497841
Neu52yo_CT76,62.50438623,49.72014301,16.8623402,55.18180063,58.90440468,51.99423452,63.31386352,0.03559472878,483.9545731,7.032371786,110.5026289,-1.246829398,54.8797266,52.97257839,58.40592349,1.081440756,49.08320052
Neu52yo_CT76_R1,58.41098239,52.59218211,16.82938207,53.87251161,58.81803079,51.79952917,62.31692675,0.03375412973,426.0428913,7.04414956,52.53194927,-1.22200222,52.9236671,52.77259305,58.8206659,0.9835619255,48.62872884
Neu52yo_CT79,61.64461877,48.18183954,13.35124969,52.93049653,59.07863283,49.87590766,62.41295061,0.03475862734,462.7813353,7.078090647,82.23783578,-1.078381233,54.52113973,52.74910492,57.65828,0.978783073,50.02659931
Neu52yo_CT79_R1,60.41223047,54.60645966,14.39373409,54.9871534,60.88390541,52.55881324,62.92597092,0.03409972335,435.767343,7.038894039,94.06534962,-0.8566678221,55.31296582,54.28015958,60.04162804,1.018345636,49.83007708
Neu52yo_CT82,61.11999655,53.87440037,18.45882064,56.69427316,60.26457622,51.97535734,63.08629179,0.0337380876,456.9854691,6.986800725,48.88458061,-0.9412541335,54.22099145,53.50320523,58.87533157,1.047664962,50.35343947
Neu52yo_CT82_R1,59.76544096,52.70927915,19.06131298,54.45793552,60.5182599,51.03933341,62.65726912,0.03299784045,443.452948,7.07396916,-8.974717147,-1.132740553,52.45040497,53.08851799,58.77319675,0.9937871828,48.46227174
Neu52yo_CT85,59.57186929,49.62697981,14.1086782,56.88886451,58.81468069,51.37431606,62.69850434,0.03481814461,465.1274369,7.089297108,97.1704182,-1.114717981,55.12630276,52.92983567,58.46881744,1.023755373,49.03672814
Neu52yo_CT85_R1,60.4226242,49.3516282,15.49807875,52.13176724,58.82322605,51.82244806,62.42332789,0.03260900007,437.9010706,7.043610021,-0.9804115842,-0.9887260627,53.04505265,52.91595833,58.61072322,0.9974436794,49.46455421
