# Epigenetic clock results for the samples in WBC Johansson dataset.,
id,Horvath pan-tissue 2013
gsm2334175_21,25.7325814546641
gsm2334207_21,27.2844667901571
gsm2334291_21,19.3766964761462
gsm2334370_21,22.9976550889235
gsm2334372_21,31.7030886377171
gsm2334376_21,20.9627643661109
gsm2334447_21,17.7399055281774
gsm2334476_21,18.6788245517922
gsm2334577_21,24.0401701934749
gsm2334584_21,24.413567888665
gsm2333965_21,25.8650289926903
gsm2334191_21,25.8557348937589
gsm2334356_21,25.4725150023553
gsm2334589_21,13.1418750862561
gsm2333961_22,21.9510398466555
gsm2333974_22,28.148084301355
gsm2334022_22,20.3004881076941
gsm2334072_22,29.2483764761739
gsm2334094_22,32.2460567258527
gsm2334131_22,30.4470767153363
gsm2334158_22,29.1629782746378
gsm2334309_22,25.7619403598552
gsm2334364_22,23.9845341104526
gsm2334556_22,24.0182149802123
gsm2333923_22,28.5403632686829
gsm2334463_22,23.8650832875113
gsm2334531_22,27.0731404153429
gsm2333938_23,31.2044477537715
gsm2334190_23,29.3570480130958
gsm2334328_23,32.9307443096224
gsm2334398_23,23.5208572719506
gsm2334414_23,31.7457333560402
gsm2334429_23,29.7136207413452
gsm2334450_23,29.2679138171063
gsm2334452_23,25.7158395041074
gsm2334487_23,35.5252810355403
gsm2334526_23,25.5572414093483
gsm2333903_23,24.7215618458703
gsm2333962_23,25.5564701938648
gsm2333975_23,28.0733291109532
gsm2334157_23,20.0470173435338
gsm2334173_24,22.9164916145203
gsm2334160_24,36.0716753882839
gsm2334194_24,34.7434167033324
gsm2334518_24,22.8730133762501
gsm2333976_25,31.9839655117334
gsm2334117_25,27.3739502821904
gsm2334247_25,30.9627506922815
gsm2334624_25,21.3856499784906
gsm2333959_25,22.2651716842594
gsm2334234_25,27.1048766217907
gsm2334357_25,28.6299606764685
gsm2334368_25,32.9082744909507
gsm2334444_25,26.5630166358667
gsm2334025_26,27.7793059396326
gsm2334553_26,26.4559008163605
gsm2334049_26,31.4045352232639
gsm2334060_26,28.8718961262156
gsm2334237_26,32.0766209729432
gsm2334199_27,31.219968189484
gsm2334583_27,36.4195730287252
gsm2334023_27,30.226355293076
gsm2334071_27,23.8107384289411
gsm2334105_27,30.646454108266
gsm2334137_27,28.9867093801
gsm2334427_27,28.0380901930172
gsm2333981_28,27.5516316556275
gsm2334327_28,24.6521851192245
gsm2333956_28,38.3358699392907
gsm2334180_28,36.1334873219872
gsm2334102_29,28.5970074271241
gsm2334104_29,29.8323069580039
gsm2334251_29,35.981125875033
gsm2334399_29,30.370187671452
gsm2333921_29,31.6540648057919
gsm2334195_29,35.7799156895776
gsm2334431_29,24.6867231401146
gsm2334528_30,34.0308507434964
gsm2334082_30,27.7068613184982
gsm2334034_31,33.899919675768
gsm2334098_31,35.8371894611006
gsm2334136_31,33.6067534772212
gsm2334206_31,36.4506206307047
gsm2334249_31,35.2295901996383
gsm2334265_31,33.3544114559957
gsm2334408_31,39.8801589904959
gsm2334560_31,37.0219402707138
gsm2334585_31,39.9227874035354
gsm2333980_32,37.1252287232302
gsm2333998_32,37.7622846478324
gsm2334103_32,28.4797654239329
gsm2334121_32,33.1881563667533
gsm2334134_32,32.0195479158687
gsm2334338_32,40.383270581685
gsm2334412_32,33.4285772616391
gsm2334394_32,32.6542636956326
gsm2334467_32,39.8034700631139
gsm2333909_33,42.1331589264333
gsm2334201_33,40.9804621980125
gsm2334329_33,31.7772305528364
gsm2334363_33,37.7624604671031
gsm2334392_33,41.5258047450947
gsm2334423_33,44.7951113773317
gsm2334539_33,34.1243361782366
gsm2334036_33,42.2055398822136
gsm2334226_33,44.1152844783997
gsm2334527_33,33.8284690609652
gsm2334558_33,39.3001853518573
gsm2333910_34,35.6355511904251
gsm2334110_34,42.9229724654296
gsm2334113_34,37.6672074261796
gsm2334186_34,39.3863886312816
gsm2334245_34,38.8358498849953
gsm2334339_34,40.1221294453503
gsm2334383_34,39.3497368994286
gsm2334522_34,43.2174898139372
gsm2333992_35,39.7105309431977
gsm2334182_35,42.4207342723045
gsm2334422_35,38.2555802337558
gsm2334486_35,40.1228062812709
gsm2334106_35,36.6296160339665
gsm2334126_35,34.6682141474115
gsm2334419_35,48.1288061624585
gsm2334324_36,36.5741508313305
gsm2334350_36,42.7049204032352
gsm2334401_36,37.3185222533798
gsm2334451_36,42.5475132111692
gsm2334112_36,44.0806284085485
gsm2334241_36,41.7627004021353
gsm2334269_36,36.1399048695918
gsm2334300_36,43.1726492396607
gsm2333957_37,38.0795428303075
gsm2334236_37,45.809625635186
gsm2334489_37,38.4804152595546
gsm2334493_37,34.6779230546586
gsm2334081_37,44.4134110839528
gsm2334240_37,41.9202300484984
gsm2333929_38,45.7514087461784
gsm2334298_38,34.9426810192514
gsm2334312_38,43.9112428041064
gsm2334387_38,46.751546437787
gsm2334504_38,42.1284793196127
gsm2334602_38,37.5338577251818
gsm2333908_38,43.7817841604187
gsm2334155_38,40.7013893499122
gsm2334426_38,50.1196418751251
gsm2334495_38,44.322417954787
gsm2333993_39,39.6945607449018
gsm2334053_39,37.3467658320569
gsm2334080_39,39.5818114215862
gsm2334196_39,42.1387658089848
gsm2334260_39,46.3081520258559
gsm2334285_39,37.111879025514
gsm2334434_39,41.4196237454184
gsm2334472_39,41.8931202598126
gsm2333948_39,42.7965086466024
gsm2334083_39,45.2261122037847
gsm2334294_39,49.8439526600624
gsm2334437_39,41.4084971793441
gsm2333972_40,43.9175327753991
gsm2334000_40,45.0634943058662
gsm2334074_40,46.6865014690053
gsm2334118_40,42.6660868989999
gsm2334477_40,47.2035858971901
gsm2334521_40,42.6949184359191
gsm2333978_40,44.4017146161103
gsm2334220_40,40.2322686156927
gsm2334250_40,49.0410311493186
gsm2334317_40,44.9437047778291
gsm2334331_40,36.7602005332217
gsm2334433_40,42.1384555802702
gsm2334462_40,43.3627717779597
gsm2334469_40,51.436322228079
gsm2334116_41,39.4086001162611
gsm2334169_41,49.1927881494859
gsm2334215_41,43.5059705639761
gsm2334386_41,42.8697270307587
gsm2334498_41,45.4044431475302
gsm2334008_41,51.1714748304669
gsm2334235_41,42.7169620458365
gsm2334275_41,43.4566172439896
gsm2333996_42,45.6851996744028
gsm2334066_42,47.4764599407527
gsm2334382_42,42.7348838662493
gsm2334459_42,52.7849184965661
gsm2333970_42,53.3758638955571
gsm2334255_42,43.0565908786858
gsm2334337_42,47.4565108967058
gsm2334403_42,44.1982808329335
gsm2334420_42,44.4898434131961
gsm2334563_42,54.0575096279345
gsm2334599_42,48.1231600632128
gsm2334001_43,42.4780137636239
